State,Year,Quarter,District,Registered_users
Delhi,2024,1,west,2837958
Delhi,2024,1,south east delhi,2291746
Delhi,2024,1,north west,2008098
Delhi,2024,1,central delhi,1884700
Delhi,2024,1,new delhi,1871468
Delhi,2024,1,north,1644670
Delhi,2024,1,south west,1541622
Delhi,2024,1,east,1418866
Delhi,2024,1,south,1345231
Delhi,2024,1,shahdara,1167913
Delhi,2024,2,west,2945032
Delhi,2024,2,south east delhi,2378417
Delhi,2024,2,north west,2085373
Delhi,2024,2,central delhi,1956609
Delhi,2024,2,new delhi,1940666
Delhi,2024,2,north,1707431
Delhi,2024,2,south west,1599704
Delhi,2024,2,east,1471663
Delhi,2024,2,south,1395197
Delhi,2024,2,shahdara,1212695
Goa,2018,1,north goa,57769
Goa,2018,1,south goa,34167
Goa,2018,2,north goa,76192
Goa,2018,2,south goa,45982
Goa,2018,3,north goa,95307
Goa,2018,3,south goa,58495
Goa,2018,4,north goa,121001
Goa,2018,4,south goa,74349
Goa,2019,1,north goa,147802
Goa,2019,1,south goa,90350
Goa,2019,2,north goa,173002
Goa,2019,2,south goa,105938
Goa,2019,3,north goa,197361
Goa,2019,3,south goa,119833
Goa,2019,4,north goa,220385
Goa,2019,4,south goa,133161
Goa,2020,1,north goa,244309
Goa,2020,1,south goa,147591
Goa,2020,2,north goa,267533
Goa,2020,2,south goa,163106
Goa,2020,3,north goa,294195
Goa,2020,3,south goa,180767
Goa,2020,4,north goa,326479
Goa,2020,4,south goa,201105
Goa,2021,1,north goa,352593
Goa,2021,1,south goa,217442
Goa,2021,2,north goa,376703
Goa,2021,2,south goa,232403
Goa,2021,3,north goa,403952
Goa,2021,3,south goa,249506
Goa,2021,4,north goa,430814
Goa,2021,4,south goa,266364
Goa,2022,1,north goa,456250
Goa,2022,1,south goa,282378
Goa,2022,2,north goa,480353
Goa,2022,2,south goa,297426
Goa,2022,3,north goa,504946
Goa,2022,3,south goa,312884
Goa,2022,4,north goa,527826
Goa,2022,4,south goa,327376
Goa,2023,1,north goa,550554
Goa,2023,1,south goa,341631
Goa,2023,2,north goa,571111
Goa,2023,2,south goa,354909
Goa,2023,3,north goa,593176
Goa,2023,3,south goa,368655
Goa,2023,4,north goa,613836
Goa,2023,4,south goa,382087
Goa,2024,1,north goa,637677
Goa,2024,1,south goa,397373
Goa,2024,2,north goa,661408
Goa,2024,2,south goa,412108
Gujarat,2018,1,ahmadabad,572811
Gujarat,2018,1,surat,489852
Gujarat,2018,1,vadodara,205722
Gujarat,2018,1,rajkot,133017
Gujarat,2018,1,gandhinagar,118201
Gujarat,2018,1,bharuch,101575
Gujarat,2018,1,kachchh,97838
Gujarat,2018,1,mahesana,97004
Gujarat,2018,1,banas kantha,93506
Gujarat,2018,1,bhavnagar,87683
Gujarat,2018,2,ahmadabad,751746
Gujarat,2018,2,surat,652372
Gujarat,2018,2,vadodara,271730
Gujarat,2018,2,rajkot,174778
Gujarat,2018,2,gandhinagar,155539
Gujarat,2018,2,bharuch,134500
Gujarat,2018,2,kachchh,128064
Gujarat,2018,2,mahesana,127614
Gujarat,2018,2,banas kantha,125849
Gujarat,2018,2,bhavnagar,115812
Gujarat,2018,3,ahmadabad,919252
Gujarat,2018,3,surat,808005
Gujarat,2018,3,vadodara,335125
Gujarat,2018,3,rajkot,215459
Gujarat,2018,3,gandhinagar,190882
Gujarat,2018,3,bharuch,169322
Gujarat,2018,3,banas kantha,159591
Gujarat,2018,3,kachchh,158762
Gujarat,2018,3,mahesana,157274
Gujarat,2018,3,bhavnagar,141243
Gujarat,2018,4,ahmadabad,1212636
Gujarat,2018,4,surat,998807
Gujarat,2018,4,vadodara,421895
Gujarat,2018,4,rajkot,260602
Gujarat,2018,4,gandhinagar,242368
Gujarat,2018,4,bharuch,211843
Gujarat,2018,4,banas kantha,197774
Gujarat,2018,4,kachchh,195295
Gujarat,2018,4,mahesana,192493
Gujarat,2018,4,bhavnagar,173699
Gujarat,2019,1,ahmadabad,1450100
Gujarat,2019,1,surat,1180819
Gujarat,2019,1,vadodara,502520
Gujarat,2019,1,rajkot,304415
Gujarat,2019,1,gandhinagar,291858
Gujarat,2019,1,bharuch,252826
Gujarat,2019,1,banas kantha,239613
Gujarat,2019,1,kachchh,231871
Gujarat,2019,1,mahesana,230403
Gujarat,2019,1,valsad,209477
Gujarat,2019,2,ahmadabad,1656341
Gujarat,2019,2,surat,1338584
Gujarat,2019,2,vadodara,572031
Gujarat,2019,2,rajkot,345178
Gujarat,2019,2,gandhinagar,333056
Gujarat,2019,2,bharuch,284296
Gujarat,2019,2,banas kantha,271379
Gujarat,2019,2,kachchh,261458
Gujarat,2019,2,mahesana,259949
Gujarat,2019,2,valsad,238764
Gujarat,2019,3,ahmadabad,1848860
Gujarat,2019,3,surat,1481391
Gujarat,2019,3,vadodara,637678
Gujarat,2019,3,rajkot,384852
Gujarat,2019,3,gandhinagar,372464
Gujarat,2019,3,bharuch,315856
Gujarat,2019,3,banas kantha,301373
Gujarat,2019,3,mahesana,286652
Gujarat,2019,3,kachchh,285519
Gujarat,2019,3,valsad,266134
Gujarat,2019,4,ahmadabad,2015947
Gujarat,2019,4,surat,1624077
Gujarat,2019,4,vadodara,700817
Gujarat,2019,4,rajkot,426178
Gujarat,2019,4,gandhinagar,408526
Gujarat,2019,4,bharuch,350619
Gujarat,2019,4,banas kantha,339582
Gujarat,2019,4,mahesana,316985
Gujarat,2019,4,kachchh,314732
Gujarat,2019,4,valsad,296977
Gujarat,2020,1,ahmadabad,2185983
Gujarat,2020,1,surat,1772703
Gujarat,2020,1,vadodara,763969
Gujarat,2020,1,rajkot,469636
Gujarat,2020,1,gandhinagar,445290
Gujarat,2020,1,banas kantha,386212
Gujarat,2020,1,bharuch,384819
Gujarat,2020,1,mahesana,349897
Gujarat,2020,1,kachchh,347270
Gujarat,2020,1,valsad,330053
Gujarat,2020,2,ahmadabad,2384154
Gujarat,2020,2,surat,1935894
Gujarat,2020,2,vadodara,830759
Gujarat,2020,2,rajkot,522650
Gujarat,2020,2,gandhinagar,488351
Gujarat,2020,2,banas kantha,446603
Gujarat,2020,2,bharuch,423017
Gujarat,2020,2,mahesana,389562
Gujarat,2020,2,kachchh,385480
Gujarat,2020,2,valsad,372771
Gujarat,2020,3,ahmadabad,2580178
Gujarat,2020,3,surat,2092712
Gujarat,2020,3,vadodara,901492
Gujarat,2020,3,rajkot,573062
Gujarat,2020,3,gandhinagar,529771
Gujarat,2020,3,banas kantha,501471
Gujarat,2020,3,bharuch,462292
Gujarat,2020,3,mahesana,427950
Gujarat,2020,3,kachchh,423729
Gujarat,2020,3,valsad,410740
Gujarat,2020,4,ahmadabad,2787991
Gujarat,2020,4,surat,2278232
Gujarat,2020,4,vadodara,980658
Gujarat,2020,4,rajkot,627654
Gujarat,2020,4,gandhinagar,572461
Gujarat,2020,4,banas kantha,551645
Gujarat,2020,4,bharuch,508005
Gujarat,2020,4,kachchh,466855
Gujarat,2020,4,mahesana,464932
Gujarat,2020,4,valsad,452628
Gujarat,2021,1,ahmadabad,2999575
Gujarat,2021,1,surat,2458596
Gujarat,2021,1,vadodara,1053954
Gujarat,2021,1,rajkot,677301
Gujarat,2021,1,gandhinagar,615315
Gujarat,2021,1,banas kantha,598384
Gujarat,2021,1,bharuch,548541
Gujarat,2021,1,kachchh,505517
Gujarat,2021,1,mahesana,500511
Gujarat,2021,1,valsad,489062
Gujarat,2021,2,ahmadabad,3209841
Gujarat,2021,2,surat,2633443
Gujarat,2021,2,vadodara,1127636
Gujarat,2021,2,rajkot,726817
Gujarat,2021,2,gandhinagar,658428
Gujarat,2021,2,banas kantha,645073
Gujarat,2021,2,bharuch,588777
Gujarat,2021,2,kachchh,543585
Gujarat,2021,2,mahesana,536645
Gujarat,2021,2,valsad,524614
Gujarat,2021,3,ahmadabad,3445024
Gujarat,2021,3,surat,2830392
Gujarat,2021,3,vadodara,1210266
Gujarat,2021,3,rajkot,782611
Gujarat,2021,3,gandhinagar,706654
Gujarat,2021,3,banas kantha,698841
Gujarat,2021,3,bharuch,634589
Gujarat,2021,3,kachchh,587589
Gujarat,2021,3,mahesana,578072
Gujarat,2021,3,valsad,565423
Gujarat,2021,4,ahmadabad,3679243
Gujarat,2021,4,surat,3026960
Gujarat,2021,4,vadodara,1292097
Gujarat,2021,4,rajkot,837869
Gujarat,2021,4,gandhinagar,754369
Gujarat,2021,4,banas kantha,751116
Gujarat,2021,4,bharuch,679705
Gujarat,2021,4,kachchh,630878
Gujarat,2021,4,mahesana,618376
Gujarat,2021,4,valsad,605655
Gujarat,2022,1,ahmadabad,3897869
Gujarat,2022,1,surat,3210535
Gujarat,2022,1,vadodara,1368210
Gujarat,2022,1,rajkot,889499
Gujarat,2022,1,banas kantha,802470
Gujarat,2022,1,gandhinagar,799301
Gujarat,2022,1,bharuch,722367
Gujarat,2022,1,kachchh,671465
Gujarat,2022,1,mahesana,656908
Gujarat,2022,1,valsad,643742
Gujarat,2022,2,ahmadabad,4105172
Gujarat,2022,2,surat,3385398
Gujarat,2022,2,vadodara,1440949
Gujarat,2022,2,rajkot,937863
Gujarat,2022,2,banas kantha,849884
Gujarat,2022,2,gandhinagar,841732
Gujarat,2022,2,bharuch,762752
Gujarat,2022,2,kachchh,709339
Gujarat,2022,2,mahesana,692794
Gujarat,2022,2,valsad,679340
Gujarat,2022,3,ahmadabad,4319512
Gujarat,2022,3,surat,3567767
Gujarat,2022,3,vadodara,1515556
Gujarat,2022,3,rajkot,986904
Gujarat,2022,3,banas kantha,896869
Gujarat,2022,3,gandhinagar,885535
Gujarat,2022,3,bharuch,803845
Gujarat,2022,3,kachchh,747079
Gujarat,2022,3,mahesana,729723
Gujarat,2022,3,valsad,716467
Gujarat,2022,4,ahmadabad,4530853
Gujarat,2022,4,surat,3747780
Gujarat,2022,4,vadodara,1587831
Gujarat,2022,4,rajkot,1033159
Gujarat,2022,4,banas kantha,939693
Gujarat,2022,4,gandhinagar,927585
Gujarat,2022,4,bharuch,842519
Gujarat,2022,4,kachchh,781383
Gujarat,2022,4,mahesana,763693
Gujarat,2022,4,valsad,751767
Gujarat,2023,1,ahmadabad,4734630
Gujarat,2023,1,surat,3919829
Gujarat,2023,1,vadodara,1658232
Gujarat,2023,1,rajkot,1079736
Gujarat,2023,1,banas kantha,985280
Gujarat,2023,1,gandhinagar,968586
Gujarat,2023,1,bharuch,881508
Gujarat,2023,1,kachchh,817441
Gujarat,2023,1,mahesana,798353
Gujarat,2023,1,valsad,786811
Gujarat,2023,2,ahmadabad,4913610
Gujarat,2023,2,surat,4076929
Gujarat,2023,2,vadodara,1721431
Gujarat,2023,2,rajkot,1123115
Gujarat,2023,2,banas kantha,1030499
Gujarat,2023,2,gandhinagar,1005603
Gujarat,2023,2,bharuch,917746
Gujarat,2023,2,kachchh,853047
Gujarat,2023,2,mahesana,831177
Gujarat,2023,2,valsad,818831
Gujarat,2023,3,ahmadabad,5105557
Gujarat,2023,3,surat,4238878
Gujarat,2023,3,vadodara,1789238
Gujarat,2023,3,rajkot,1167848
Gujarat,2023,3,banas kantha,1074757
Gujarat,2023,3,gandhinagar,1044993
Gujarat,2023,3,bharuch,955541
Gujarat,2023,3,kachchh,888857
Gujarat,2023,3,mahesana,864845
Gujarat,2023,3,valsad,852301
Gujarat,2023,4,ahmadabad,5282400
Gujarat,2023,4,surat,4396038
Gujarat,2023,4,vadodara,1851909
Gujarat,2023,4,rajkot,1210023
Gujarat,2023,4,banas kantha,1116214
Gujarat,2023,4,gandhinagar,1080850
Gujarat,2023,4,bharuch,991279
Gujarat,2023,4,kachchh,922553
Gujarat,2023,4,mahesana,895934
Gujarat,2023,4,valsad,883746
Gujarat,2024,1,ahmadabad,5485010
Gujarat,2024,1,surat,4569769
Gujarat,2024,1,vadodara,1923948
Gujarat,2024,1,rajkot,1258350
Gujarat,2024,1,banas kantha,1165004
Gujarat,2024,1,gandhinagar,1122367
Gujarat,2024,1,bharuch,1032496
Gujarat,2024,1,kachchh,962243
Gujarat,2024,1,mahesana,931768
Gujarat,2024,1,valsad,919660
Gujarat,2024,2,ahmadabad,5693015
Gujarat,2024,2,surat,4747919
Gujarat,2024,2,vadodara,1996837
Gujarat,2024,2,rajkot,1306577
Gujarat,2024,2,banas kantha,1210784
Gujarat,2024,2,gandhinagar,1164291
Gujarat,2024,2,bharuch,1072930
Gujarat,2024,2,kachchh,999285
Gujarat,2024,2,mahesana,967060
Gujarat,2024,2,valsad,955703
Haryana,2018,1,gurugram,474081
Haryana,2018,1,faridabad,231504
Haryana,2018,1,hisar,113872
Haryana,2018,1,rewari,85350
Haryana,2018,1,sonipat,79638
Haryana,2018,1,panipat,74739
Haryana,2018,1,karnal,73612
Haryana,2018,1,sirsa,70800
Haryana,2018,1,rohtak,62452
Haryana,2018,1,bhiwani,57585
Haryana,2018,2,gurugram,621718
Haryana,2018,2,faridabad,306358
Haryana,2018,2,hisar,147599
Haryana,2018,2,rewari,113056
Haryana,2018,2,sonipat,106837
Haryana,2018,2,panipat,101243
Haryana,2018,2,karnal,98276
Haryana,2018,2,sirsa,91908
Haryana,2018,2,rohtak,82822
Haryana,2018,2,bhiwani,75485
Haryana,2018,3,gurugram,767369
Haryana,2018,3,faridabad,383316
Haryana,2018,3,hisar,176380
Haryana,2018,3,rewari,138368
Haryana,2018,3,sonipat,132705
Haryana,2018,3,panipat,124290
Haryana,2018,3,karnal,121471
Haryana,2018,3,sirsa,109165
Haryana,2018,3,rohtak,101649
Haryana,2018,3,ambala,92472
Haryana,2018,4,gurugram,967781
Haryana,2018,4,faridabad,521996
Haryana,2018,4,hisar,210671
Haryana,2018,4,rewari,172035
Haryana,2018,4,sonipat,165599
Haryana,2018,4,panipat,153137
Haryana,2018,4,karnal,149062
Haryana,2018,4,sirsa,127874
Haryana,2018,4,rohtak,124365
Haryana,2018,4,jhajjar,114488
Haryana,2019,1,gurugram,1159832
Haryana,2019,1,faridabad,634024
Haryana,2019,1,hisar,245236
Haryana,2019,1,rewari,207051
Haryana,2019,1,sonipat,199593
Haryana,2019,1,panipat,181548
Haryana,2019,1,karnal,177042
Haryana,2019,1,rohtak,147392
Haryana,2019,1,sirsa,146936
Haryana,2019,1,palwal,141953
Haryana,2019,2,gurugram,1307319
Haryana,2019,2,faridabad,716593
Haryana,2019,2,hisar,277720
Haryana,2019,2,rewari,238349
Haryana,2019,2,sonipat,230883
Haryana,2019,2,panipat,208172
Haryana,2019,2,karnal,204255
Haryana,2019,2,rohtak,169372
Haryana,2019,2,palwal,165665
Haryana,2019,2,sirsa,163468
Haryana,2019,3,gurugram,1447473
Haryana,2019,3,faridabad,792884
Haryana,2019,3,hisar,308179
Haryana,2019,3,rewari,266893
Haryana,2019,3,sonipat,261554
Haryana,2019,3,panipat,235346
Haryana,2019,3,karnal,230603
Haryana,2019,3,rohtak,190137
Haryana,2019,3,palwal,188217
Haryana,2019,3,jhajjar,185095
Haryana,2019,4,gurugram,1574240
Haryana,2019,4,faridabad,862595
Haryana,2019,4,hisar,339753
Haryana,2019,4,rewari,294161
Haryana,2019,4,sonipat,291479
Haryana,2019,4,panipat,262435
Haryana,2019,4,karnal,255280
Haryana,2019,4,rohtak,209750
Haryana,2019,4,palwal,209434
Haryana,2019,4,jhajjar,206377
Haryana,2020,1,gurugram,1700505
Haryana,2020,1,faridabad,935992
Haryana,2020,1,hisar,382469
Haryana,2020,1,sonipat,325111
Haryana,2020,1,rewari,323001
Haryana,2020,1,panipat,293916
Haryana,2020,1,karnal,283270
Haryana,2020,1,palwal,233542
Haryana,2020,1,rohtak,231317
Haryana,2020,1,jhajjar,230059
Haryana,2020,2,gurugram,1809777
Haryana,2020,2,faridabad,1010271
Haryana,2020,2,hisar,417164
Haryana,2020,2,sonipat,362890
Haryana,2020,2,rewari,354024
Haryana,2020,2,panipat,324833
Haryana,2020,2,karnal,313828
Haryana,2020,2,palwal,259528
Haryana,2020,2,jhajjar,256581
Haryana,2020,2,rohtak,254647
Haryana,2020,3,gurugram,1949331
Haryana,2020,3,faridabad,1094570
Haryana,2020,3,hisar,453910
Haryana,2020,3,sonipat,402001
Haryana,2020,3,rewari,388025
Haryana,2020,3,panipat,357830
Haryana,2020,3,karnal,344289
Haryana,2020,3,palwal,285223
Haryana,2020,3,jhajjar,284852
Haryana,2020,3,rohtak,280325
Haryana,2020,4,gurugram,2104240
Haryana,2020,4,faridabad,1182635
Haryana,2020,4,hisar,490971
Haryana,2020,4,sonipat,441088
Haryana,2020,4,rewari,421106
Haryana,2020,4,panipat,391952
Haryana,2020,4,karnal,374733
Haryana,2020,4,jhajjar,313144
Haryana,2020,4,palwal,310698
Haryana,2020,4,rohtak,305922
Haryana,2021,1,gurugram,2262589
Haryana,2021,1,faridabad,1272506
Haryana,2021,1,hisar,526528
Haryana,2021,1,sonipat,475192
Haryana,2021,1,rewari,453500
Haryana,2021,1,panipat,423131
Haryana,2021,1,karnal,402850
Haryana,2021,1,jhajjar,337303
Haryana,2021,1,palwal,335048
Haryana,2021,1,rohtak,329147
Haryana,2021,2,gurugram,2416391
Haryana,2021,2,faridabad,1360855
Haryana,2021,2,hisar,564047
Haryana,2021,2,sonipat,510058
Haryana,2021,2,rewari,485784
Haryana,2021,2,panipat,454218
Haryana,2021,2,karnal,432042
Haryana,2021,2,jhajjar,362160
Haryana,2021,2,palwal,359544
Haryana,2021,2,rohtak,353305
Haryana,2021,3,gurugram,2589324
Haryana,2021,3,faridabad,1459758
Haryana,2021,3,hisar,606513
Haryana,2021,3,sonipat,549613
Haryana,2021,3,rewari,522734
Haryana,2021,3,panipat,489226
Haryana,2021,3,karnal,464990
Haryana,2021,3,jhajjar,390612
Haryana,2021,3,palwal,387557
Haryana,2021,3,rohtak,380370
Haryana,2021,4,gurugram,2764490
Haryana,2021,4,faridabad,1559756
Haryana,2021,4,hisar,648827
Haryana,2021,4,sonipat,588700
Haryana,2021,4,rewari,559494
Haryana,2021,4,panipat,523678
Haryana,2021,4,karnal,497166
Haryana,2021,4,jhajjar,418950
Haryana,2021,4,palwal,415495
Haryana,2021,4,rohtak,407245
Haryana,2022,1,gurugram,2929873
Haryana,2022,1,faridabad,1654074
Haryana,2022,1,hisar,689980
Haryana,2022,1,sonipat,626016
Haryana,2022,1,rewari,595001
Haryana,2022,1,panipat,556104
Haryana,2022,1,karnal,527415
Haryana,2022,1,jhajjar,445888
Haryana,2022,1,palwal,441872
Haryana,2022,1,rohtak,432623
Haryana,2022,2,gurugram,3088176
Haryana,2022,2,faridabad,1743764
Haryana,2022,2,hisar,727942
Haryana,2022,2,sonipat,661278
Haryana,2022,2,rewari,628614
Haryana,2022,2,panipat,587006
Haryana,2022,2,karnal,555939
Haryana,2022,2,jhajjar,471357
Haryana,2022,2,palwal,466861
Haryana,2022,2,rohtak,456537
Haryana,2022,3,gurugram,3251792
Haryana,2022,3,faridabad,1837594
Haryana,2022,3,hisar,766206
Haryana,2022,3,sonipat,697349
Haryana,2022,3,rewari,663418
Haryana,2022,3,panipat,618937
Haryana,2022,3,karnal,584928
Haryana,2022,3,jhajjar,497580
Haryana,2022,3,palwal,492837
Haryana,2022,3,rohtak,481082
Haryana,2022,4,gurugram,3416098
Haryana,2022,4,faridabad,1930743
Haryana,2022,4,hisar,801156
Haryana,2022,4,sonipat,731324
Haryana,2022,4,rewari,696113
Haryana,2022,4,panipat,649292
Haryana,2022,4,karnal,611868
Haryana,2022,4,jhajjar,521692
Haryana,2022,4,palwal,516553
Haryana,2022,4,rohtak,504058
Haryana,2023,1,gurugram,3572322
Haryana,2023,1,faridabad,2018956
Haryana,2023,1,hisar,846309
Haryana,2023,1,sonipat,764865
Haryana,2023,1,rewari,728428
Haryana,2023,1,panipat,679052
Haryana,2023,1,karnal,638547
Haryana,2023,1,jhajjar,545862
Haryana,2023,1,palwal,540064
Haryana,2023,1,rohtak,527046
Haryana,2023,2,gurugram,3707352
Haryana,2023,2,faridabad,2097648
Haryana,2023,2,hisar,879031
Haryana,2023,2,sonipat,796213
Haryana,2023,2,rewari,757958
Haryana,2023,2,panipat,706703
Haryana,2023,2,karnal,664313
Haryana,2023,2,jhajjar,568479
Haryana,2023,2,palwal,562608
Haryana,2023,2,rohtak,547825
Haryana,2023,3,gurugram,3846607
Haryana,2023,3,faridabad,2177737
Haryana,2023,3,hisar,913340
Haryana,2023,3,sonipat,828230
Haryana,2023,3,rewari,788131
Haryana,2023,3,panipat,735266
Haryana,2023,3,karnal,690422
Haryana,2023,3,jhajjar,591881
Haryana,2023,3,palwal,585232
Haryana,2023,3,rohtak,570001
Haryana,2023,4,gurugram,3980597
Haryana,2023,4,faridabad,2254787
Haryana,2023,4,hisar,945044
Haryana,2023,4,sonipat,857752
Haryana,2023,4,rewari,817197
Haryana,2023,4,panipat,761069
Haryana,2023,4,karnal,714314
Haryana,2023,4,jhajjar,613796
Haryana,2023,4,palwal,606281
Haryana,2023,4,rohtak,589438
Haryana,2024,1,gurugram,4134124
Haryana,2024,1,faridabad,2342026
Haryana,2024,1,hisar,981843
Haryana,2024,1,sonipat,892110
Haryana,2024,1,rewari,850468
Haryana,2024,1,panipat,791258
Haryana,2024,1,karnal,741880
Haryana,2024,1,jhajjar,638613
Haryana,2024,1,palwal,630556
Haryana,2024,1,rohtak,612619
Haryana,2024,2,gurugram,4289099
Haryana,2024,2,faridabad,2432061
Haryana,2024,2,hisar,1017200
Haryana,2024,2,sonipat,925604
Haryana,2024,2,rewari,882152
Haryana,2024,2,panipat,820766
Haryana,2024,2,karnal,769577
Haryana,2024,2,jhajjar,662778
Haryana,2024,2,palwal,654617
Haryana,2024,2,rohtak,635272
Himachal Pradesh,2018,1,solan,50035
Himachal Pradesh,2018,1,kangra,39016
Himachal Pradesh,2018,1,shimla,28214
Himachal Pradesh,2018,1,mandi,26238
Himachal Pradesh,2018,1,sirmaur,15880
Himachal Pradesh,2018,1,hamirpur,15614
Himachal Pradesh,2018,1,kullu,15318
Himachal Pradesh,2018,1,una,13234
Himachal Pradesh,2018,1,bilaspur,11975
Himachal Pradesh,2018,1,chamba,8678
Himachal Pradesh,2018,2,solan,68950
Himachal Pradesh,2018,2,kangra,54828
Himachal Pradesh,2018,2,shimla,38590
Himachal Pradesh,2018,2,mandi,36126
Himachal Pradesh,2018,2,sirmaur,22379
Himachal Pradesh,2018,2,hamirpur,21374
Himachal Pradesh,2018,2,kullu,21077
Himachal Pradesh,2018,2,una,18691
Himachal Pradesh,2018,2,bilaspur,16531
Himachal Pradesh,2018,2,chamba,12259
Himachal Pradesh,2018,3,solan,88724
Himachal Pradesh,2018,3,kangra,71494
Himachal Pradesh,2018,3,shimla,49820
Himachal Pradesh,2018,3,mandi,45876
Himachal Pradesh,2018,3,sirmaur,28959
Himachal Pradesh,2018,3,hamirpur,27915
Himachal Pradesh,2018,3,kullu,26840
Himachal Pradesh,2018,3,una,24952
Himachal Pradesh,2018,3,bilaspur,21030
Himachal Pradesh,2018,3,chamba,16157
Himachal Pradesh,2018,4,solan,113278
Himachal Pradesh,2018,4,kangra,92887
Himachal Pradesh,2018,4,shimla,64640
Himachal Pradesh,2018,4,mandi,58526
Himachal Pradesh,2018,4,sirmaur,38194
Himachal Pradesh,2018,4,hamirpur,35979
Himachal Pradesh,2018,4,kullu,34719
Himachal Pradesh,2018,4,una,32451
Himachal Pradesh,2018,4,bilaspur,26517
Himachal Pradesh,2018,4,chamba,21538
Himachal Pradesh,2019,1,solan,139300
Himachal Pradesh,2019,1,kangra,115120
Himachal Pradesh,2019,1,shimla,80651
Himachal Pradesh,2019,1,mandi,72963
Himachal Pradesh,2019,1,sirmaur,47638
Himachal Pradesh,2019,1,hamirpur,44206
Himachal Pradesh,2019,1,kullu,43436
Himachal Pradesh,2019,1,una,40315
Himachal Pradesh,2019,1,bilaspur,32537
Himachal Pradesh,2019,1,chamba,27481
Himachal Pradesh,2019,2,solan,159989
Himachal Pradesh,2019,2,kangra,139517
Himachal Pradesh,2019,2,shimla,96928
Himachal Pradesh,2019,2,mandi,86701
Himachal Pradesh,2019,2,sirmaur,55409
Himachal Pradesh,2019,2,kullu,51977
Himachal Pradesh,2019,2,hamirpur,51669
Himachal Pradesh,2019,2,una,47644
Himachal Pradesh,2019,2,bilaspur,38131
Himachal Pradesh,2019,2,chamba,33377
Himachal Pradesh,2019,3,solan,178922
Himachal Pradesh,2019,3,kangra,160161
Himachal Pradesh,2019,3,shimla,110575
Himachal Pradesh,2019,3,mandi,98589
Himachal Pradesh,2019,3,sirmaur,62048
Himachal Pradesh,2019,3,kullu,59192
Himachal Pradesh,2019,3,hamirpur,58950
Himachal Pradesh,2019,3,una,54164
Himachal Pradesh,2019,3,bilaspur,43115
Himachal Pradesh,2019,3,chamba,37974
Himachal Pradesh,2019,4,solan,198962
Himachal Pradesh,2019,4,kangra,181133
Himachal Pradesh,2019,4,shimla,124960
Himachal Pradesh,2019,4,mandi,111017
Himachal Pradesh,2019,4,sirmaur,69583
Himachal Pradesh,2019,4,kullu,66640
Himachal Pradesh,2019,4,hamirpur,66179
Himachal Pradesh,2019,4,una,61055
Himachal Pradesh,2019,4,bilaspur,48453
Himachal Pradesh,2019,4,chamba,43715
Himachal Pradesh,2020,1,solan,220293
Himachal Pradesh,2020,1,kangra,205367
Himachal Pradesh,2020,1,shimla,139890
Himachal Pradesh,2020,1,mandi,124971
Himachal Pradesh,2020,1,sirmaur,77972
Himachal Pradesh,2020,1,kullu,74668
Himachal Pradesh,2020,1,hamirpur,73945
Himachal Pradesh,2020,1,una,68564
Himachal Pradesh,2020,1,bilaspur,54024
Himachal Pradesh,2020,1,chamba,50169
Himachal Pradesh,2020,2,solan,243732
Himachal Pradesh,2020,2,kangra,235773
Himachal Pradesh,2020,2,shimla,156539
Himachal Pradesh,2020,2,mandi,142668
Himachal Pradesh,2020,2,sirmaur,88117
Himachal Pradesh,2020,2,hamirpur,84216
Himachal Pradesh,2020,2,kullu,82616
Himachal Pradesh,2020,2,una,78363
Himachal Pradesh,2020,2,bilaspur,61050
Himachal Pradesh,2020,2,chamba,58362
Himachal Pradesh,2020,3,solan,265701
Himachal Pradesh,2020,3,kangra,261293
Himachal Pradesh,2020,3,shimla,172418
Himachal Pradesh,2020,3,mandi,158237
Himachal Pradesh,2020,3,sirmaur,97464
Himachal Pradesh,2020,3,hamirpur,93465
Himachal Pradesh,2020,3,kullu,90699
Himachal Pradesh,2020,3,una,86177
Himachal Pradesh,2020,3,bilaspur,67233
Himachal Pradesh,2020,3,chamba,65214
Himachal Pradesh,2020,4,solan,289889
Himachal Pradesh,2020,4,kangra,285210
Himachal Pradesh,2020,4,shimla,189005
Himachal Pradesh,2020,4,mandi,173403
Himachal Pradesh,2020,4,sirmaur,107144
Himachal Pradesh,2020,4,hamirpur,101825
Himachal Pradesh,2020,4,kullu,99814
Himachal Pradesh,2020,4,una,93778
Himachal Pradesh,2020,4,bilaspur,73296
Himachal Pradesh,2020,4,chamba,72124
Himachal Pradesh,2021,1,solan,312360
Himachal Pradesh,2021,1,kangra,306531
Himachal Pradesh,2021,1,shimla,202911
Himachal Pradesh,2021,1,mandi,186340
Himachal Pradesh,2021,1,sirmaur,115705
Himachal Pradesh,2021,1,hamirpur,109372
Himachal Pradesh,2021,1,kullu,107536
Himachal Pradesh,2021,1,una,100832
Himachal Pradesh,2021,1,bilaspur,78663
Himachal Pradesh,2021,1,chamba,77599
Himachal Pradesh,2021,2,solan,334716
Himachal Pradesh,2021,2,kangra,329232
Himachal Pradesh,2021,2,shimla,218068
Himachal Pradesh,2021,2,mandi,200277
Himachal Pradesh,2021,2,sirmaur,124764
Himachal Pradesh,2021,2,hamirpur,117381
Himachal Pradesh,2021,2,kullu,115278
Himachal Pradesh,2021,2,una,108338
Himachal Pradesh,2021,2,bilaspur,84508
